Date,TweetsURL,Users,Source,Location,Tweets,Likes Count,Retweet Count,Tweet Quote_Count,Tweet Reply_Count
2022-09-24 00:27:47+00:00,https://twitter.com/esnathmupunzi/status/1573469207521525769,esnathmupunzi,Twitter Web App,"Harare, Zimbabwe",Omo shippers wanna kill me this night 🤣🤣🤣🤣🤣🤣 #bbnaija https://t.co/zRfNlQGN5T,4,0,0,1
2022-09-24 00:27:41+00:00,https://twitter.com/Vee93797454/status/1573469181307125782,Vee93797454,Twitter for Android,,Why didn't he go home Sunday? I really don't understand #Bbnaija,7,0,0,2
2022-09-24 00:27:40+00:00,https://twitter.com/malebogozibani1/status/1573469178710851596,malebogozibani1,Twitter for Android,,"Yes Bryann you not dipping..you there till day 72 because Vibryannts ghat you boy🥺❤️

CAPTAIN BRYANN 
#BryannForEveryone 
#BryannTheContent 
#BryannIsBlack 
#BryannX100M 
#BryannOnly 
#Bryann𓃵 
#BBNaija",18,3,0,0
2022-09-24 00:27:36+00:00,https://twitter.com/Iamsoniafweesh/status/1573469163846238229,Iamsoniafweesh,Twitter for iPhone,"Benin-City, Nigeria",@JacobUwagboe2 @BBNaija She’s not drunk rest,0,0,0,0
2022-09-24 00:27:28+00:00,https://twitter.com/KanyesigyePros2/status/1573469128760885260,KanyesigyePros2,Twitter for iPhone,"Kampala, Uganda",Whom do we think is going to be a winner this season #bbnaija,1,0,0,0
2022-09-24 00:27:27+00:00,https://twitter.com/letherosietoo/status/1573469124390522880,letherosietoo,Twitter for Android,,"Finale is already here, Phynation moves to winning this season. #bbnaija #Phyna𓃵 https://t.co/LLTCfXBqNY",16,1,0,0
2022-09-24 00:27:26+00:00,https://twitter.com/exornam56/status/1573469122016444417,exornam56,Twitter for Android,"Kumasi, Ghana","Sheggz is becoming a bad boy🙄😂
Everyday he is doing something new in bed
#BBNaija",7,0,0,0
2022-09-24 00:27:25+00:00,https://twitter.com/nana_jose_/status/1573469117255909400,nana_jose_,Twitter for Android,,"This one too na matter? 😂😂 Wear Green vs I won't wear Green.  Groovy better go n wear Green and come for Phyna o.. or wait till still sleeps and go for her, she must not sleep in that room #bbnaija",17,2,0,0
2022-09-24 00:27:24+00:00,https://twitter.com/osomhenjr/status/1573469111400661025,osomhenjr,Twitter for Android,,"Ladies will you stay with this young handsome man for a day

Koo Koo #Wizkid Machala #MLLE More Love Less Ego Lucy Kelly Diane DOYIN #SadRomance #BBNajiaS7 ASUU #Liquolions Ckay PiggyVest #Trending #gistlover Bella Hermes #Bbnaija #WizKid𓃵 Maddison Square Tiwa Asake God https://t.co/QgXKD7qusc",2,0,0,0
2022-09-24 00:27:16+00:00,https://twitter.com/FrankQ_Poet/status/1573469076143341575,FrankQ_Poet,Twitter for Android,Namibia,"🎯😎

Phyna making sure nobody tries to steal her 100million cash prize. 

UNSHAKABLE PHYNA 
#BBNaija https://t.co/NYWFh9AjnQ https://t.co/pxVT3xGpcZ",13,3,0,1
2022-09-24 00:27:10+00:00,https://twitter.com/realharderonke/status/1573469052932063233,realharderonke,Twitter for iPhone,,🤡🤡🤡🤡🤡Kini radarada #BBNaija,0,0,0,0
2022-09-24 00:27:10+00:00,https://twitter.com/IconicOcon/status/1573469052562964493,IconicOcon,Twitter for Android,"London, England",#BBNaija bryann Explains why he drew back cos people were saying he was being too forward and that started at some point in level 2.,18,3,0,0
2022-09-24 00:27:05+00:00,https://twitter.com/loveanddimples/status/1573469033604710406,loveanddimples,Twitter for iPhone,Nigeria,Phyna go and meet Groovy 😒😒 #BBNaija,13,0,0,1
2022-09-24 00:27:05+00:00,https://twitter.com/Kay4841/status/1573469031859879948,Kay4841,Twitter for Android,,Listen to this one complaining &amp; my fave makes me think Scorpio men complains a lot #BBNaija,0,0,0,0
2022-09-24 00:27:05+00:00,https://twitter.com/observa_moi/status/1573469030991659013,observa_moi,Twitter for iPhone,,"Phyna is drunk, chasing and biting Groovy to sleep on another bed. So funny 😆 #BBNaija",7,0,0,5
2022-09-24 00:27:05+00:00,https://twitter.com/Rugie065421292/status/1573469030605889536,Rugie065421292,Twitter for iPhone,,@AllaboutGroophy @BBNaija Keep the video coming i don off tv,0,0,0,0
2022-09-24 00:27:02+00:00,https://twitter.com/___Taurean___/status/1573469020254240772,___Taurean___,Twitter for iPhone,,"Bryann we loved it when you were the unofficial HOH of level 2 tho 😭😂😂😂 you should have stuck to your guns and not let them make you change. Loved when you gave commands, read the briefs 😂😂😂 #BBNaija",53,15,0,3
2022-09-24 00:26:59+00:00,https://twitter.com/sippies_/status/1573469006740312064,sippies_,Twitter for Android,,"no ways , God really took his precious time when he created Bryann , how can he look this perfect 🥺😍😍 #BBNaija",36,6,0,1
2022-09-24 00:26:56+00:00,https://twitter.com/ToyinTems/status/1573468995604340736,ToyinTems,Twitter for iPhone,,"What did Sheggz say to Bella that really hurt and pained her today?

#BBNaija 
#BBNajiaS7",6,0,0,3
2022-09-24 00:26:51+00:00,https://twitter.com/jayhopefairy/status/1573468974368555008,jayhopefairy,Twitter for iPhone,,"Phyna is not upset about green or upset about smooches, she is being petty 😂😂😂 #bbnaija https://t.co/UBR9aohwgP",1,0,0,0
2022-09-24 00:26:50+00:00,https://twitter.com/ToreBiba/status/1573468970295885851,ToreBiba,Twitter for iPhone,Nigeria,"Yah that was before, u guys used to be all nice and peaceful, But you are all the same at dis point #BBNaija https://t.co/nlPpTemhiD",1,1,0,3
2022-09-24 00:26:44+00:00,https://twitter.com/ntombenhleeee/status/1573468945822121992,ntombenhleeee,Twitter for iPhone,World🌍,Yeah. Bryann took a conscious step back when the merger happened. #BBNaija,11,0,0,0
2022-09-24 00:26:36+00:00,https://twitter.com/k_u_n_m_ii/status/1573468909709164554,k_u_n_m_ii,Twitter for Android,"Jos, Nigeria","@KumzMedia @world_eazy @BBNaija @DStvNg That's where you are missing it. Adekunle played the game but they came playing with lots of emotions and expectations. They can't blame him for being an exceptional game player!! If they are not ready to know him better outside, they can leave.",1,0,0,2
2022-09-24 00:26:32+00:00,https://twitter.com/JacobUwagboe2/status/1573468892759982080,JacobUwagboe2,Twitter for iPhone,,"@BBNaija Oh again phyna again this alcohol thing you left your man to another room, don’t bite him oo please",0,0,0,2
2022-09-24 00:26:31+00:00,https://twitter.com/shadyfavorite/status/1573468887907172364,shadyfavorite,Twitter for iPhone,United States,Bryann been mad at Doyin for 838237832 years!! They need to fck and get it over with! #BBNaija,3,0,0,5
2022-09-24 00:26:28+00:00,https://twitter.com/KokoFela/status/1573468876418973706,KokoFela,Twitter for iPhone,,Bryan go soon sleep here #bbnaija  #BBNaija7,0,0,0,0
2022-09-24 00:26:27+00:00,https://twitter.com/queenadureh/status/1573468873566846993,queenadureh,Twitter for Android,,Beauty and Daniella that are top tier beautiful babe's don't even look down on others and insult their looks. But it's this letter I shape looking Ekuke Bella that's always exhibiting bad character because fine boy Sheggz is using her for his game. #bbnaija https://t.co/9AzKnRXAxz,6,0,0,2
2022-09-24 00:26:25+00:00,https://twitter.com/staph01/status/1573468865606127617,staph01,Twitter for Android,,@AllaboutGroophy @EfuaX @BBNaija These two people no go kill me😄😂😂😂,0,0,0,0
2022-09-24 00:26:17+00:00,https://twitter.com/T33_Masterpiece/status/1573468831611232256,T33_Masterpiece,Twitter for iPhone,,Please what happened to this one?? #bbnaija https://t.co/5yXumo2iDg,2,0,0,0
2022-09-24 00:26:05+00:00,https://twitter.com/Vee93797454/status/1573468781585760270,Vee93797454,Twitter for Android,,He is kisses her I just feel like switching off the TV #Bbnaija,6,0,0,1
